Name,Average_User_Rating,User_Rating_Count,Price,Age_Rating,Primary_Genre,Specific_Genre,Size,Original_Release_Year
"""Tap 'n' Pop Classic (Lite): Balloon Group Remove""",3,24821,0,4+,Games,Entertainment,14717952,2009
Tournament Reversi Free,3.5,2503,0,4+,Games,Board,2582857,2009
Bloons,4,16693,0.99,4+,Games,Strategy,5500291,2009
Chess \u2219,3.5,191081,0,4+,Games,Strategy,65303552,2009
Chess Premium,4,2767,1.99,4+,Games,Entertainment,30746624,2009
UniWar: Multiplayer Strategy,3.5,14073,0,9+,Games,Entertainment,115074048,2009
Pocket Tanks Deluxe,4.5,5543,4.99,9+,Games,Family,39997440,2009
Castle Smasher,3,12659,0.99,4+,Games,Strategy,10308608,2009
Pocket Tanks,4,90386,0,9+,Games,Strategy,43073536,2009
Inverti,3,40,0,4+,Games,Board,2004992,2009
Crystal Mine,2,353,0,4+,Games,Casual,2818386,2009
Nerve,2.5,47,0,4+,Games,Strategy,6994639,2009
Pebbles,3,866,0,4+,Games,Strategy,10136576,2009
AirTycoon - Airline Management,3.5,3416,0,4+,Games,Strategy,8646161,2009
Jungle Crash Land,3.5,67670,0.99,4+,Games,Strategy,7703552,2009
PortOfCallL,2.5,634,0,4+,Games,Strategy,3396500,2009
"""Swap 'n Drop""",3,282,2.99,4+,Games,Puzzle,4225024,2009
Boxed In,3.5,93235,0.99,4+,Games,Strategy,259371008,2009
SmartGo Player,4,569,2.99,4+,Games,Entertainment,23805952,2009
Big 2 Classic,3.5,127,2.99,4+,Games,Strategy,3684352,2009
"""Sally's Spa Lite""",4,193923,0,4+,Games,Action,233482240,2009
TowerMadness,4,42389,2.99,9+,Games,Strategy,56048640,2009
Chinese Chess Master,3.5,207,3.99,4+,Games,Entertainment,23740416,2009
Block Off,3,16554,0,4+,Games,Puzzle,6338617,2009
UAV Fighter Free,3,6906,0,12+,Games,Strategy,12120793,2009
WORP - Next Gen Solitaire Puzzle,3,9,1.99,4+,Games,Board,20501504,2009
Bubble Buster,3.5,2110,0,4+,Games,Board,76698624,2009
Age of Conquest: Europe,3.5,267,3.99,12+,Entertainment,Games,39074816,2009
Backgammon!,2,704,0,4+,Games,Entertainment,413902,2009
Crush the Castle,3.5,23854,0.99,12+,Games,Adventure,44707840,2009
PopGroup,3,847,0.99,4+,Games,Board,995328,2009
PopGroup Lite,3,233,0,4+,Games,Entertainment,761856,2009
TapSquares,3,5,0.99,4+,Games,Strategy,2137088,2009
Chess,4.5,14864,0,4+,Games,Strategy,47129600,2009
TOTL,2.5,43,0,4+,Games,Entertainment,41591808,2009
